"occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","difference.z_mean","difference.z_median","difference.z_min_id","difference.z_max_id","difference.z_min","difference.z_max","RMSE.z_min","RMSE.z_mean","RMSE.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC.z_min","N_cor_ICC.z_mean","N_cor_ICC.z_max","N_valid_ICC.z_handled_min","N_valid_ICC.z_handled_mean","N_valid_ICC.z_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE.z_N_min","RMSE.z_N_mean","RMSE.z_N_max"
"random",60,7,0.798,0.93,0.967,-0.094,-0.102,133,110,-0.152,0.068,0.054,0.144,0.33,0.253,0.284,0.369,0.841,0.874,0.926,0,0.02,0.068,0,0,0,0,0.002,1,164,172.426,176,164,171.923,174,164,172.426,176,0,0,0,0,4884.182,5000
"random",60,8,0.839,0.955,0.981,-0.048,-0.05,152,110,-0.095,0.038,0.043,0.098,0.286,0.26,0.289,0.345,0.854,0.881,0.917,0,0.015,0.045,0,0,0,0,0,1,168,173.351,176,168,173.016,174,168,173.351,176,0,0,0,0,4915.222,5000
"random",60,9,0.847,0.974,0.994,-0.004,-0.002,161,69,-0.045,0.026,0.017,0.057,0.251,0.265,0.293,0.321,0.861,0.886,0.905,0.006,0.014,0.028,0,0,0,0,0,0,171,173.589,175,171,173.537,174,171,173.589,175,0,0,0,0,4930.034,5000
"by order",14,3,0.265,0.524,0.655,-0.314,-0.317,123,79,-0.971,0.151,NA,NA,NA,0.241,0.348,0.432,0,0.457,0.662,0.111,0.246,0.382,0,0,0,1,2.952,9,83,123.333,150,83,122.5,150,83,123.333,150,0,8.833,46,NA,NA,NA
"by order",14,4,0.418,0.599,0.695,-0.264,-0.271,123,79,-0.917,0.959,NA,NA,NA,0.28,0.404,1.977,0.284,0.539,0.986,0.097,0.196,0.391,0,0,0,1,2.286,6,92,135.54,157,92,134.698,157,92,135.54,157,0,4.595,20,NA,NA,NA
"by order",14,5,0.55,0.641,0.699,-0.221,-0.22,123,84,-0.875,0.449,NA,NA,NA,0.283,0.352,0.452,0.345,0.567,0.743,0.08,0.162,0.302,0,0,0,1,1.952,4,116,143.389,160,115,142.587,160,116,143.389,160,0,2.5,9,NA,NA,NA
"by order",14,6,0.262,0.334,0.393,-0.015,-0.161,112,73,-0.84,17.763,NA,NA,NA,1.496,1.946,2.683,0.978,0.985,0.993,0.045,0.118,0.229,0,0,0,0,0.012,1,135,154.024,168,135,153.357,168,135,154.024,168,0,1.333,7,NA,NA,NA
"by order",14,7,0.655,0.691,0.731,-0.131,-0.122,112,84,-0.847,0.641,NA,NA,NA,0.344,0.364,0.403,0.586,0.629,0.699,0.08,0.114,0.165,0,0,0,1,1.444,3,145,154,161,145,153.306,161,145,154,161,0,0.639,3,NA,NA,NA
"by order",14,8,0.285,0.374,0.399,0.027,-0.082,112,73,-0.855,17.56,NA,NA,NA,1.485,1.63,2.083,0.978,0.981,0.989,0.062,0.08,0.108,0,0,0,0,0,0,157,161.667,165,157,160.889,164,157,161.667,165,0,0.222,2,NA,NA,NA
"by order",14,9,0.716,0.716,0.716,-0.042,-0.037,112,166,-0.859,0.807,NA,NA,NA,0.387,0.387,0.387,0.684,0.684,0.684,0.068,0.068,0.068,0,0,0,1,1,1,163,163,163,162,162,162,163,163,163,0,0,0,NA,NA,NA
