"occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","difference_mean","difference_median","difference_min_id","difference_max_id","difference_min","difference_max","RMSE_min","RMSE_mean","RMSE_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","percnegICC_raw_min","percnegICC_raw_mean","percnegICC_raw_max","estimationProbNeg_raw_min","estimationProbNeg_raw_mean","estimationProbNeg_raw_max","estimationProbPos_raw_min","estimationProbPos_raw_mean","estimationProbPos_raw_max","N_rel_min","N_rel_mean","N_rel_max","N_cor_ICC_min","N_cor_ICC_mean","N_cor_ICC_max","N_merged_ICC_handled_min","N_merged_ICC_handled_mean","N_merged_ICC_handled_max","n_skipped_persons_var_min","n_skipped_persons_var_mean","n_skipped_persons_var_max","RMSE_N_min","RMSE_N_mean","RMSE_N_max"
"random",40,4,0.698,0.862,0.924,-0.004,-0.005,77,92,-0.018,0.038,0.044,0.094,0.289,0.123,0.145,0.17,0.532,0.667,0.775,0,0.025,0.08,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",40,5,0.872,0.929,0.96,-0.002,-0.002,84,107,-0.016,0.012,0.022,0.049,0.096,0.125,0.136,0.15,0.631,0.693,0.752,0,0.009,0.034,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,3,0.572,0.78,0.876,-0.007,-0.009,76,92,-0.045,0.07,0.067,0.136,0.415,0.119,0.155,0.182,0.408,0.667,0.814,0,0.056,0.193,0,0,0,0,0,1,175,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,4,0.748,0.894,0.941,-0.004,-0.004,136,92,-0.017,0.036,0.036,0.086,0.286,0.123,0.141,0.167,0.628,0.718,0.804,0,0.021,0.068,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",50,5,0.923,0.961,0.976,-0.001,-0.001,84,92,-0.008,0.008,0.015,0.036,0.068,0.123,0.132,0.142,0.695,0.741,0.779,0,0.007,0.023,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,3,0.602,0.802,0.883,-0.007,-0.007,76,92,-0.044,0.07,0.056,0.132,0.418,0.122,0.152,0.176,0.537,0.711,0.828,0,0.053,0.188,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,4,0.785,0.918,0.957,-0.003,-0.004,94,92,-0.016,0.035,0.032,0.08,0.283,0.123,0.138,0.158,0.692,0.756,0.817,0,0.019,0.051,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"random",60,5,0.967,0.983,0.99,0,0,84,92,-0.003,0.004,0.008,0.023,0.041,0.123,0.13,0.137,0.75,0.776,0.8,0,0.006,0.017,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,5000,5000,5000
"by order",14,3,0.362,0.488,0.561,-0.007,-0.011,67,92,-0.318,0.419,NA,NA,NA,0.163,0.193,0.227,0,0.218,0.521,0.023,0.114,0.244,0,0,0,0,0,0,175,175.9,176,175,175.9,176,175,175.9,176,0,0.1,1,NA,NA,NA
"by order",14,4,0.522,0.569,0.606,-0.007,-0.008,99,92,-0.326,0.408,NA,NA,NA,0.163,0.175,0.188,0.175,0.283,0.408,0.028,0.056,0.074,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",14,5,0.625,0.625,0.625,-0.004,-0.006,99,92,-0.335,0.402,NA,NA,NA,0.161,0.161,0.161,0.32,0.32,0.32,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,3,0.424,0.6,0.684,-0.013,-0.012,163,117,-0.254,0.247,NA,NA,NA,0.15,0.182,0.213,0.019,0.368,0.643,0.017,0.09,0.21,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,4,0.585,0.697,0.751,-0.012,-0.011,163,117,-0.299,0.255,NA,NA,NA,0.152,0.165,0.183,0.364,0.465,0.588,0.011,0.04,0.062,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",20,5,0.758,0.758,0.758,-0.009,-0.006,163,117,-0.301,0.259,NA,NA,NA,0.154,0.154,0.154,0.507,0.507,0.507,0.028,0.028,0.028,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,3,0.508,0.677,0.763,-0.009,-0.007,28,8,-0.217,0.183,NA,NA,NA,0.138,0.17,0.189,0.251,0.526,0.698,0.006,0.07,0.17,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,4,0.675,0.786,0.831,-0.006,-0.003,28,8,-0.234,0.182,NA,NA,NA,0.142,0.153,0.165,0.529,0.591,0.663,0.006,0.03,0.045,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",30,5,0.853,0.853,0.853,-0.003,0,28,8,-0.237,0.182,NA,NA,NA,0.143,0.143,0.143,0.626,0.626,0.626,0.017,0.017,0.017,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,3,0.546,0.732,0.793,-0.006,-0.004,9,87,-0.152,0.112,NA,NA,NA,0.127,0.158,0.178,0.351,0.596,0.729,0,0.055,0.165,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,4,0.743,0.85,0.878,-0.003,-0.006,9,57,-0.158,0.112,NA,NA,NA,0.133,0.142,0.154,0.604,0.653,0.71,0,0.028,0.057,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",40,5,0.919,0.919,0.919,0,-0.001,9,57,-0.162,0.113,NA,NA,NA,0.133,0.133,0.133,0.68,0.68,0.68,0,0,0,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,3,0.572,0.763,0.814,-0.006,0,9,70,-0.17,0.078,NA,NA,NA,0.124,0.154,0.173,0.458,0.661,0.781,0,0.052,0.159,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,4,0.774,0.882,0.913,-0.002,0.003,9,70,-0.173,0.088,NA,NA,NA,0.129,0.139,0.152,0.667,0.711,0.759,0,0.022,0.034,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",50,5,0.951,0.951,0.951,0.001,0.004,9,70,-0.175,0.094,NA,NA,NA,0.131,0.131,0.131,0.735,0.735,0.735,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,3,0.61,0.803,0.864,-0.003,-0.002,91,75,-0.106,0.089,NA,NA,NA,0.125,0.152,0.171,0.556,0.713,0.812,0,0.051,0.148,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,4,0.809,0.92,0.945,0.001,0.001,91,70,-0.095,0.085,NA,NA,NA,0.129,0.138,0.152,0.721,0.758,0.799,0,0.02,0.04,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",60,5,0.983,0.983,0.983,0.003,0.005,91,70,-0.09,0.09,NA,NA,NA,0.131,0.131,0.131,0.779,0.779,0.779,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,3,0.642,0.819,0.878,-0.007,-0.007,76,92,-0.044,0.07,NA,NA,NA,0.126,0.149,0.168,0.629,0.745,0.829,0,0.051,0.153,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,4,0.826,0.937,0.963,-0.003,-0.003,94,75,-0.016,0.034,NA,NA,NA,0.127,0.136,0.149,0.753,0.785,0.823,0,0.016,0.023,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
"by order",70,5,NA,NA,NA,0,0,1,6,0,0,NA,NA,NA,0.128,0.128,0.128,0.803,0.803,0.803,0.006,0.006,0.006,0,0,0,0,0,0,176,176,176,176,176,176,176,176,176,0,0,0,NA,NA,NA
