"group","n_occasions","n_items","diff_ICC_sim_mean","diff_ICC_sim_var","diff_ICC_MCSE","diff_ICC.z_sim_mean","diff_ICC.z_sim_var","diff_ICC.z_MCSE","cor_ICC_sim_mean","cor_ICC_sim_var","cor_ICC_MCSE","cor_ICC.z_sim_mean","cor_ICC.z_sim_var","cor_ICC.z_MCSE","RMSE_ICC_sim_mean","RMSE_ICC_sim_var","RMSE_ICC_MCSE","RMSE_ICC.z_sim_mean","RMSE_ICC.z_sim_var","RMSE_ICC.z_MCSE","rel_sim_mean","rel_sim_var","rel_MCSE","sd_ICC_sim_mean","sd_ICC_sim_var","sd_ICC_MCSE","sd_ICC.z_sim_mean","sd_ICC.z_sim_var","sd_ICC.z_MCSE","percnegICC_sim_mean","percnegICC_sim_var","percnegICC_MCSE","N_rel_sim_mean","N_rel_sim_var","N_rel_MCSE"
"low NED",60,5,-0.056,0,0,-0.553,0,0,0.719,0.023,0.005,0.713,0.026,0.005,0.096,0,0,0.568,0,0.001,0.681,0.001,0.001,0.113,0,0,0.187,0,0,0,0,0,37,0,0
"low NED",60,10,-0.01,0,0,-0.199,0,0,0.819,0.032,0.006,0.81,0.039,0.006,0.05,0,0.001,0.221,0.001,0.001,0.657,0.002,0.001,0.091,0,0,0.17,0,0,0,0,0,37,0,0
"low NED",60,15,-0.003,0,0,-0.006,0,0,0.851,0.049,0.007,0.834,0.064,0.008,0.034,0.001,0.001,0.07,0.003,0.002,0.568,0.004,0.002,0.077,0,0,0.149,0,0,0,0,0,37,0,0
"medium NED",14,5,-0.075,0,0.001,-0.55,0.001,0.001,0.101,0.027,0.005,0.099,0.027,0.005,0.154,0,0,0.605,0.001,0.001,0.157,0.023,0.005,0.133,0,0.001,0.25,0.001,0.001,0.087,0.002,0.001,36,0,0
"medium NED",14,10,-0.03,0,0.001,-0.249,0.002,0.001,0.156,0.03,0.005,0.146,0.029,0.005,0.119,0,0,0.359,0.001,0.001,0.276,0.026,0.005,0.116,0,0.001,0.26,0.001,0.001,0.009,0,0,36,0,0
"medium NED",14,15,-0.014,0,0.001,-0.054,0.001,0.001,0.243,0.03,0.005,0.228,0.029,0.005,0.097,0,0,0.239,0.001,0.001,0.196,0.026,0.005,0.099,0,0,0.239,0.001,0.001,0.001,0,0,36,0,0
"medium NED",20,5,-0.071,0,0.001,-0.537,0.001,0.001,0.146,0.029,0.005,0.144,0.028,0.005,0.135,0,0,0.578,0.001,0.001,0.203,0.026,0.005,0.115,0,0,0.213,0.001,0.001,0.051,0.001,0.001,36,0,0
"medium NED",20,10,-0.024,0,0,-0.23,0.001,0.001,0.219,0.025,0.005,0.208,0.025,0.005,0.102,0,0,0.316,0.001,0.001,0.322,0.027,0.005,0.101,0,0,0.221,0.001,0.001,0.003,0,0,36,0,0
"medium NED",20,15,-0.01,0,0,-0.036,0.001,0.001,0.315,0.028,0.005,0.297,0.029,0.005,0.08,0,0,0.193,0.001,0.001,0.217,0.026,0.005,0.083,0,0,0.198,0.001,0.001,0,0,0,36,0,0
"medium NED",30,5,-0.068,0,0,-0.528,0.001,0.001,0.212,0.027,0.005,0.21,0.027,0.005,0.115,0,0,0.555,0,0.001,0.217,0.026,0.005,0.095,0,0,0.173,0.001,0.001,0.022,0.001,0.001,36,0,0
