"group","occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_ICC_min","RMSE_ICC_mean","RMSE_ICC_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"low NED","random",50,10,0.191,0.763,0.925,-0.575,-0.013,0.213,0.038,0.067,0.118,0.076,0.098,0.12,0.407,0.649,0.779,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",50,15,0.159,0.799,0.956,-0.593,-0.006,0.15,0.023,0.055,0.108,0.067,0.084,0.103,0.307,0.577,0.78,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",60,5,0.252,0.74,0.859,-0.618,-0.056,0.258,0.077,0.096,0.14,0.098,0.113,0.128,0.568,0.681,0.762,0,0.002,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",60,10,0.302,0.862,0.948,-0.552,-0.01,0.148,0.03,0.05,0.101,0.078,0.091,0.108,0.535,0.657,0.766,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",60,15,0.231,0.923,0.985,-0.563,-0.003,0.09,0.013,0.034,0.095,0.065,0.077,0.09,0.38,0.568,0.745,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",14,5,0.116,0.116,0.116,-0.442,-0.093,0.333,0.201,0.201,0.201,0.175,0.175,0.175,0.396,0.396,0.396,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",14,10,0.066,0.066,0.066,-0.491,-0.028,0.357,0.179,0.179,0.179,0.169,0.169,0.169,0.568,0.568,0.568,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",14,15,0.016,0.016,0.016,-0.493,-0.02,0.319,0.169,0.169,0.169,0.156,0.156,0.156,0.542,0.542,0.542,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",20,5,0.087,0.087,0.087,-0.508,-0.071,0.387,0.172,0.172,0.172,0.149,0.149,0.149,0.457,0.457,0.457,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",20,10,0.038,0.038,0.038,-0.486,-0.007,0.398,0.153,0.153,0.153,0.14,0.14,0.14,0.58,0.58,0.58,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",20,15,-0.006,-0.006,-0.006,-0.475,0.001,0.342,0.147,0.147,0.147,0.131,0.131,0.131,0.561,0.561,0.561,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",30,5,0.144,0.144,0.144,-0.531,-0.067,0.29,0.149,0.149,0.149,0.125,0.125,0.125,0.478,0.478,0.478,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",30,10,0.112,0.112,0.112,-0.473,-0.006,0.23,0.125,0.125,0.125,0.113,0.113,0.113,0.563,0.563,0.563,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",30,15,0.035,0.035,0.035,-0.501,-0.002,0.238,0.125,0.125,0.125,0.108,0.108,0.108,0.59,0.59,0.59,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",40,5,0.147,0.147,0.147,-0.554,-0.066,0.251,0.139,0.139,0.139,0.114,0.114,0.114,0.533,0.533,0.533,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
