"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"low NED","random",40,10,-0.039,0.63,0.909,-1.571,-0.213,0.372,0.171,0.269,0.367,0.153,0.205,0.27,0.358,0.632,0.793,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",40,15,-0.048,0.625,0.936,-1.544,-0.022,0.475,0.061,0.154,0.285,0.14,0.187,0.257,0.256,0.572,0.781,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",50,5,0.104,0.667,0.849,-1.653,-0.558,0.055,0.532,0.578,0.644,0.163,0.197,0.23,0.494,0.652,0.748,0,0.007,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",50,10,0.105,0.753,0.925,-1.436,-0.205,0.213,0.183,0.242,0.354,0.142,0.186,0.232,0.407,0.649,0.779,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",50,15,0.016,0.781,0.955,-1.471,-0.013,0.281,0.045,0.113,0.259,0.129,0.167,0.228,0.307,0.577,0.78,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",60,5,0.203,0.736,0.86,-1.618,-0.553,-0.02,0.539,0.568,0.628,0.16,0.187,0.216,0.568,0.681,0.762,0,0.002,1,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",60,10,0.223,0.857,0.948,-1.353,-0.199,0.097,0.184,0.221,0.312,0.145,0.17,0.205,0.535,0.657,0.766,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","random",60,15,0.112,0.917,0.985,-1.31,-0.006,0.194,0.025,0.07,0.219,0.124,0.149,0.193,0.38,0.568,0.745,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",14,5,0.116,0.116,0.116,-1.251,-0.618,0.14,0.69,0.69,0.69,0.298,0.298,0.298,0.396,0.396,0.396,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",14,10,0.054,0.054,0.054,-1.17,-0.242,0.528,0.422,0.422,0.422,0.332,0.332,0.332,0.568,0.568,0.568,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",14,15,-0.008,-0.008,-0.008,-1.047,-0.051,0.631,0.344,0.344,0.344,0.317,0.317,0.317,0.542,0.542,0.542,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",20,5,0.082,0.082,0.082,-1.373,-0.578,0.274,0.64,0.64,0.64,0.256,0.256,0.256,0.457,0.457,0.457,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",20,10,0.022,0.022,0.022,-1.155,-0.197,0.637,0.358,0.358,0.358,0.275,0.275,0.275,0.58,0.58,0.58,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",20,15,-0.023,-0.023,-0.023,-0.993,-0.004,0.688,0.295,0.295,0.295,0.264,0.264,0.264,0.561,0.561,0.561,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",30,5,0.129,0.129,0.129,-1.42,-0.573,0.045,0.618,0.618,0.618,0.21,0.21,0.21,0.478,0.478,0.478,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",30,10,0.092,0.092,0.092,-1.121,-0.196,0.249,0.31,0.31,0.31,0.216,0.216,0.216,0.563,0.563,0.563,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",30,15,-0.005,-0.005,-0.005,-1.074,-0.011,0.453,0.254,0.254,0.254,0.219,0.219,0.219,0.59,0.59,0.59,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",40,5,0.125,0.125,0.125,-1.467,-0.57,-0.032,0.61,0.61,0.61,0.19,0.19,0.19,0.533,0.533,0.533,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",40,10,0.052,0.052,0.052,-1.278,-0.215,0.17,0.316,0.316,0.316,0.201,0.201,0.201,0.629,0.629,0.629,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",40,15,-0.026,-0.026,-0.026,-1.183,-0.02,0.392,0.242,0.242,0.242,0.201,0.201,0.201,0.641,0.641,0.641,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",50,5,0.253,0.253,0.253,-1.452,-0.585,-0.046,0.619,0.619,0.619,0.193,0.193,0.193,0.639,0.639,0.639,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",50,10,0.248,0.248,0.248,-1.119,-0.232,0.017,0.3,0.3,0.3,0.176,0.176,0.176,0.618,0.618,0.618,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",50,15,0.139,0.139,0.139,-1.045,-0.033,0.244,0.201,0.201,0.201,0.169,0.169,0.169,0.601,0.601,0.601,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",60,5,0.309,0.309,0.309,-1.482,-0.579,-0.032,0.612,0.612,0.612,0.193,0.193,0.193,0.703,0.703,0.703,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",60,10,0.347,0.347,0.347,-1.148,-0.229,-0.067,0.285,0.285,0.285,0.163,0.163,0.163,0.63,0.63,0.63,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",60,15,0.229,0.229,0.229,-1.079,-0.033,0.09,0.184,0.184,0.184,0.16,0.16,0.16,0.631,0.631,0.631,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",70,5,0.791,0.791,0.791,-0.738,-0.549,-0.128,0.56,0.56,0.56,0.178,0.178,0.178,0.702,0.702,0.702,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",70,10,0.941,0.941,0.941,-0.304,-0.193,-0.05,0.2,0.2,0.2,0.157,0.157,0.157,0.658,0.658,0.658,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"low NED","by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134,0.134,0.134,0.548,0.548,0.548,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"medium NED","random",14,5,-0.336,0.102,0.567,-1.712,-0.55,1.253,0.487,0.605,0.723,0.142,0.25,0.43,0,0.157,0.711,0,3.136,9,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",14,10,-0.406,0.15,0.607,-1.36,-0.249,1.238,0.245,0.359,0.48,0.173,0.26,0.408,0,0.276,0.713,0,0.331,3,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",14,15,-0.296,0.236,0.637,-1.101,-0.054,2.105,0.134,0.239,0.437,0.129,0.239,0.469,0,0.196,0.791,0,0.039,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",20,5,-0.303,0.148,0.63,-1.388,-0.537,0.853,0.475,0.578,0.674,0.145,0.213,0.307,0,0.203,0.622,0,1.824,6,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",20,10,-0.273,0.214,0.718,-1.154,-0.23,1.043,0.201,0.316,0.401,0.149,0.221,0.327,0,0.322,0.703,0,0.121,2,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",20,15,-0.227,0.307,0.743,-1.026,-0.036,1.001,0.109,0.193,0.31,0.104,0.198,0.304,0,0.217,0.669,0,0.005,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",30,5,-0.254,0.217,0.635,-1.195,-0.528,0.725,0.488,0.555,0.634,0.117,0.173,0.257,0,0.217,0.654,0,0.788,4,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",30,10,-0.207,0.312,0.716,-1.04,-0.215,0.832,0.21,0.275,0.342,0.12,0.18,0.256,0,0.346,0.688,0,0.011,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",30,15,-0.19,0.425,0.784,-0.887,-0.02,0.793,0.081,0.143,0.212,0.095,0.156,0.223,0,0.189,0.604,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",40,5,-0.222,0.275,0.664,-1.109,-0.522,0.469,0.485,0.542,0.595,0.094,0.145,0.225,0,0.185,0.666,0,0.349,3,0,0,0,0,0,0,36,36,36,36,36,36
